id,stadium_name,team,logo,capacity,latitude,longitude,league,
1,Quốc gia Mỹ Đình,Việt Nam,"""https://upload.wikimedia.org/wikipedia/en/1/1d/Vietnam_Football_Federation_logo.svg"",",40192,21.02044731,105.7638188,National,
2,Gò Đậu,Becamex Bình Dương,"""https://upload.wikimedia.org/wikipedia/en/d/dd/Logo_of_Becamex_B%C3%ACnh_D%C6%B0%C6%A1ng_FC.svg"",",15000,10.97061250277609,106.6717396,V. League 1,
3,Thanh Hóa,Đông Á Thanh Hóa,"""https://upload.wikimedia.org/wikipedia/en/c/cb/DATHFC_logo.svg"",",14000,19.79934792237392,105.7728596019813,V. League 1,
4,Hàng Đẫy,Hà Nội,"""https://upload.wikimedia.org/wikipedia/en/a/af/HN_FC_Logo.svg"",",19500,21.029845,105.832973,V. League 1,
5,Hàng Đẫy,Công an Hà Nội,"""https://upload.wikimedia.org/wikipedia/en/1/10/CAHN_FC_logo.svg"",",19500,21.029845,105.832973,V. League 1,
6,Quốc gia Mỹ Đình,Thể Công - Viettel,"""https://upload.wikimedia.org/wikipedia/en/a/a1/Viettel_Football_Club_Logo.svg"",",40192,21.02044731,105.7638188,V. League 1,
7,Lạch Tray,Hải Phòng,"""https://upload.wikimedia.org/wikipedia/en/a/ad/Haiphong_FC_Logo_%282022-present%29.svg"",",30000,20.852058201527925,106.68889632463711,V. League 1,
8,Hà Tĩnh,Hồng Lĩnh Hà Tĩnh,"""https://upload.wikimedia.org/wikipedia/en/0/09/Hong_Linh_Ha_Tinh_FC_logo.svg"",",10000,18.333343687489286,105.90785187421314,V. League 1,
9,Thiên Trường,Thép Xanh Nam Định,"""https://upload.wikimedia.org/wikipedia/en/9/9f/Nam_Dinh_FC_logo.svg"",",22000,20.43650727263646,106.1800054,V. League 1,
10,Vinh,Sông Lam Nghệ An,"""https://upload.wikimedia.org/wikipedia/en/7/70/SLNA_FC_logo.svg"",",20000,18.66910975,105.6691464,V. League 1,
11,Thống Nhất,Thành phố Hồ Chí Minh,"""https://upload.wikimedia.org/wikipedia/en/7/7d/HCMCFC_logo.svg"",",15000,10.76071689230983,106.6634416,V. League 1,
12,Hòa Xuân,SHB Đà Nẵng,"""https://upload.wikimedia.org/wikipedia/en/5/54/SHB_Danang_logo.svg"",",20500,15.999305073490977,108.22353396968828,V. League 1,
13,Tam Kỳ,Quảng Nam,"""https://upload.wikimedia.org/wikipedia/en/c/c3/Quang_Nam_FC_logo.svg"",",15000,15.56031190470625,108.5066361,V. League 1,
14,Pleiku,Hoàng Anh Gia Lai,"""https://upload.wikimedia.org/wikipedia/en/f/f1/Hoang_Anh_Gia_Lai_FC_logo.svg"",",10000,13.979184803692522,108.00498997377393,V. League 1,
15,Quy Nhơn,Quy Nhơn Bình Định,"""https://vpf.vn/wp-content/uploads/2018/10/Binh-Dinh.png"",",16000,13.774613029142063,109.22857180434579,V. League 1,
16,Bà Rịa,Bà Rịa Vũng Tàu,"""https://vpf.vn/wp-content/uploads/2019/12/Ba-Ria-Vung-Tau.png"",",10000,10.508280906552368,107.17421702662749,V. League 2,
17,Đồng Nai,Đồng Nai,,30000,10.96171382,106.8628792,V. League 2,
18,Cao Lãnh,"Đồng Tháp",,20000,10.46463577,105.6426974,V. League 2,
19,Hòa Bình,Hòa Bình,"""https://upload.wikimedia.org/wikipedia/en/6/6e/Hoa_Binh_FC_logo.svg"",",3600,20.816983807139138,105.33989721748566,V. League 2,
20,Tự Do,Huế,"""https://upload.wikimedia.org/wikipedia/en/6/6a/Hue_FC_crest.svg"",",16000,16.467316676037413,107.59768229088345,V. League 2,
21,19/8 Nha Trang,Khatoco Khánh Hòa,"""https://upload.wikimedia.org/wikipedia/en/5/55/Khanh_Hoa_FC_crest.svg"",",18000,12.250547545924583,109.19303427108684,V. League 2,
22,Long An,Long An,"""https://upload.wikimedia.org/wikipedia/en/b/b2/Long_An_FC_crest.svg"",",20000,10.536241299427438,106.40823435003853,V. League 2,
23,Ninh Bình,Phù Đổng Ninh Bình,"""https://vpf.vn/wp-content/uploads/2019/01/Phu-Dong.jpg"",",22000,20.258652754928907,105.96907322141335,V. League 2,
24,PVF,PVF-CAND,"""https://upload.wikimedia.org/wikipedia/en/8/8d/PVF-CAND_FC_logo.svg"",",4500,20.927647509756895,105.94567383717047,V. League 2,
25,Thống Nhất,Hồ Chí Minh City Youth,,15000,10.76071689230983,106.6634416,V. League 2,
26,Bình Phước,Bình Phước,"""https://upload.wikimedia.org/wikipedia/en/3/32/Binh_Phuoc_FC_logo.png"",",10000,11.824614114457905,106.95799179972113,V. League 2,
27,Việt Trì,Phú Thọ,"""https://upload.wikimedia.org/wikipedia/en/2/25/Phu_Tho_FC_logo.svg"",",20000,21.305659356691375,105.41330041309301,Second Division,
28,Từ Sơn,Bắc Ninh,https://upload.wikimedia.org/wikipedia/vi/0/04/Bac_Ninh_F.C.png,5000,,,Second Division,
29,Thống Nhất,Đại học Văn Hiến,,15000,10.76071689230983,106.6634416,Second Division,
30,Buôn Ma Thuột,Đắk Lắk,,20000,12.67776328,108.0426079,Second Division,
31,Quân khu 5,Trẻ SHB Đà Nẵng,,12000,,,Second Division,
32,Kon Tum,Kon Tum,,11000,14.36426906,108.0162619,Second Division,
33,Đà Lạt,Lâm Đồng,,20000,11.95949701,108.4324332,Second Division,
34,PVF,Trẻ PVF-CAND,,3600,,,Second Division,
35,PVF,PVF,,3600,,,Second Division,
36,Cẩm Phả,Quảng Ninh,,20000,,,Second Division,
37,Thanh Trì,Trẻ Hà Nội,,4000,,,Second Division,
38,Hoài Đức,Hoài Đức,,,,,Second Division,
39,Tân Hiệp,Gia Định,,1000,10.90596239,106.5864991,Second Division,
40,Vĩnh Long,Vĩnh Long,,10000,10.24647096,105.961218,Second Division,
41,TTHL&TDTT Tây Ninh,Tây Ninh,,,,,Second Division,
42,,,,,,,,
43,,,,,,,,
44,,,,,,,,
45,,,,,,,,
46,,,,,,,,
47,,,,,,,,
48,,,,,,,,
49,,,,,,,,
50,Gia Lai Province Youth Activity Center,Tây Nguyên Gia Lai,https://upload.wikimedia.org/wikipedia/commons/5/51/TNGLFCNEW.jpg,,13.98871921,108.0252503,Third Division,
51,Yết Kiêu,An Giang,https://upload.wikimedia.org/wikipedia/vi/5/50/An_Giang_FC.svg,,10.38273627,105.4340126,Third Division,
52,Cần Thơ,"Cần Thơ",,,10.04923207,105.7890359,Third Division,
53,Hàm Rồng,"Học viện LPBank Hoàng Anh Gia Lai",,,13.86354311,108.0017098,Third Division,
54,Tuy Hòa,Phú Yên,Images/PhuYen.jpg,,13.09237176,109.3106998,Third Division,
55,Gò Đậu,Becamex Bình Dương Youth,"""https://upload.wikimedia.org/wikipedia/en/d/dd/Logo_of_Becamex_B%C3%ACnh_D%C6%B0%C6%A1ng_FC.svg"",",15000,10.96992281,106.6718854,Third Division,
56,Hàng Đẫy,Công An Hà Nội Youth,"""https://upload.wikimedia.org/wikipedia/en/1/10/CAHN_FC_logo.svg"",",19500,21.029445,105.832873,Third Division,
57,Thanh Hóa,Đông Á Thanh Hoá Youth,"""https://upload.wikimedia.org/wikipedia/en/c/cb/DATHFC_logo.svg"",",14000,19.79901448,105.7726773,Third Division,
58,Đồng Nai,Đồng Nai Youth,,30000,10.96147645,106.8625613,Third Division,
59,Thiên Trường,Nam Định Youth,https://upload.wikimedia.org/wikipedia/vi/b/b5/Namdinh_FC_Badge_%282018%29.svg,22000,20.4361652,106.1804129,Third Division,
61,Tam Đảo,Trung tâm bóng đá Đào Hà,,,21.39808089,105.610851,Third Division,https://www.facebook.com/profile.php?id=100057360103453
62,Phúc Yên,Zantino Vĩnh Phúc,,,21.22918447,105.7096793,Third Division,